Sample,Time,Read,Write,Overall,Read Min,Write Min,Overall Min,Read Max,Write Max,Overall Max,Read Average,Write Average,Overall Average,Read Average per Channel,Write Average per Channel,Overall Average per Channel,Latest Temperature,Average Temperature,MC0.AM.WR_CMD_PS0,MC0.AM.WR_CMD_PS1,MC0.AM.WR_AP_CMD_PS0,MC0.AM.WR_AP_CMD_PS1,MC0.AM.RD_CMD_PS0,MC0.AM.RD_CMD_PS1,MC0.AM.RD_AP_CMD_PS0,MC0.AM.RD_AP_CMD_PS1,MC0.AM.REFRESH_CMD_PS0,MC0.AM.REFRESH_CMD_PS1,MC0.AM.ACT_CMD_PS0,MC0.AM.ACT_CMD_PS1,MC0.AM.PRECHARGE_CMD_PS0,MC0.AM.PRECHARGE_CMD_PS1,MC0.AM.PRECHARGE_ALL_CMD_PS0,MC0.AM.PRECHARGE_ALL_CMD_PS1,MC0.AM.RD_TO_WR_SWITCH_PS0,MC0.AM.RD_TO_WR_SWITCH_PS1,MC0.AM.RMW_CYCLE_PS0,MC0.AM.RMW_CYCLE_PS1,
152,20:16:32,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DD,00000000,00000000,00000000,
153,20:16:33,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
154,20:16:34,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E12,00000000,00000000,00000000,02AEA53A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
155,20:16:35,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
156,20:16:36,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
157,20:16:37,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
158,20:16:38,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
159,20:16:39,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
160,20:16:40,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA527,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
161,20:16:41,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
162,20:16:42,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
163,20:16:43,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
164,20:16:44,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
165,20:16:45,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
166,20:16:46,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
167,20:16:47,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
168,20:16:48,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
169,20:16:49,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA547,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
170,20:16:50,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
171,20:16:51,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
172,20:16:52,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
173,20:16:53,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
174,20:16:54,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
175,20:16:55,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
176,20:16:56,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
